epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.203,1.26178,2.44181,1.16425,0.00765,0.97814,0.38291,0.2163,0.97604,2.97472,0.98505,0.00062963,0.00062963,0.00062963
2,322.121,1.20258,1.36468,1.06061,0.00667,0.85246,0.03491,0.02735,1.05334,3.26436,1.11071,0.00103963,0.00103963,0.00103963
3,482.77,1.14583,1.18309,1.05132,1,0.15803,0.60656,0.46772,0.9799,2.71399,1.00976,0.00118563,0.00118563,0.00118563
4,636.547,1.08817,1.04228,1.01004,0.9904,0.56357,0.8437,0.64734,0.93661,2.16751,0.97918,0.000812,0.000812,0.000812
5,791.794,1.0054,0.91697,0.98624,0.93988,0.9071,0.96619,0.71805,0.93444,1.52896,0.96207,0.000416,0.000416,0.000416
