epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.128,1.44691,3.05253,1.29907,0.00716,0.92368,0.64743,0.30473,1.5391,3.31262,1.43363,0.00116542,0.00116542,0.0811654
2,205.21,1.58042,2.21054,1.39747,0.00541,0.69782,0.35903,0.17187,1.72102,3.53252,1.67163,0.00229771,0.00229771,0.0572977
3,299.901,1.62902,1.94046,1.39493,0.00321,0.41433,0.18332,0.07498,1.99706,3.94986,2.20302,0.00306944,0.00306944,0.0330694
4,392.508,1.48675,1.77814,1.3287,0.60691,0.28037,0.31457,0.16198,1.87337,3.52438,2.06933,0.00348061,0.00348061,0.00848061
5,482.796,1.47968,1.91003,1.27768,0.68742,0.17813,0.28539,0.14507,1.75368,3.2999,1.86441,0.0029427,0.0029427,0.0029427
6,570.828,1.36566,1.52227,1.17374,0.31718,0.18224,0.16039,0.0799,1.82316,3.57165,1.97867,0.00222159,0.00222159,0.00222159
7,652.056,1.22972,1.36851,1.10415,0.2539,0.2134,0.12076,0.06406,1.81482,3.61544,1.92977,0.00150048,0.00150048,0.00150048
8,741.123,1.07321,1.45021,1.10008,0.27513,0.35514,0.16212,0.09629,1.53471,2.91157,1.48529,0.000779378,0.000779378,0.000779378
