epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2603,3.10398,7.09163,3.27435,4e-05,0.00467,0,0,4.57303,2.4551e+12,1.75694e+12,0.00191671,0.00191671,0.07525
2,187.095,3.54507,4.24511,5.03065,0,0,0,0,5.92198,5.45157e+14,3.5422e+12,0.00377891,0.00377891,0.0437789
3,279.611,3.52894,5.62024,6.76878,0,0,0,0,6.23821,7.70521e+13,1.43671e+11,0.00504813,0.00504813,0.0117148
4,375.289,3.34646,4.86204,6.61994,0,0,0,0,4.13321,1.01011e+11,5.88558e+08,0.00451924,0.00451924,0.00451924
5,463.841,3.33627,3.89017,5.12015,0,0,0,0,4.43492,2.2694e+06,60440.2,0.00362976,0.00362976,0.00362976
6,551.46,3.49917,3.79556,4.50982,0,0,0,0,4.58681,157743,3285.64,0.00274029,0.00274029,0.00274029
7,631.127,3.32703,3.96129,4.50118,0,0,0,0,4.91681,25906.4,534.02,0.00185082,0.00185082,0.00185082
8,711.253,3.14156,3.83253,4.14528,0,0,0,0,5.06024,5806.44,71.8874,0.000961348,0.000961348,0.000961348
