"car_id","timestamp","province","city"
"000296635f69235776b63d06401b3bbd",2025-09-23 01:45:37.499000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 05:45:40.917000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:12:18.727000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:13:19.823000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:46:49.342000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:46:50,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:47:03.664000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:47:04,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:48:44.348000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 08:56:51.278000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 09:36:10.084000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 09:36:58.150000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 13:37:01.679000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:03:55.280000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:04:38.984000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:05:40.722000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:11:58.103000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:13:40.965000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:17:45.913000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:19:13.538000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:20:44.533000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:21:13.908000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:21:58.803000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:35:53.910000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:36:08.141000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:39:19.397000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:39:47.932000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:40:39.736000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:41:39.122000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:43:15.767000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:47:05.163000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:48:56.620000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:50:50.873000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:51:22.051000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:51:34.614000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:52:24.372000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 15:53:03.173000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:16:30.913000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:16:48.165000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:20:13.264000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:20:44.654000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:20:50.983000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:23:19.471000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:23:20,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:23:54.829000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:23:55,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:23:57.878000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:23:58,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:24:00.948000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:24:01,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:24:02.588000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:24:03,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:24:04,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:24:04.008000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:40:36.323000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 16:41:59.623000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 17:12:53.142000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 17:22:40.123000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 17:44:53.674000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 17:46:51.369000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 17:47:41.215000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:24:56,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:25:22.541000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:26:53,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:26:54.190000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:08,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:08.290000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:11,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:11.120000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:13,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:13.960000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:15,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 18:27:15.590000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:49:19,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:49:19.882000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:52:52.745000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:53:01,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:53:01.075000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:53:03.168000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:54:21.458000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:54:41,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:54:41.718000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:54:45,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:54:46.028000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-23 21:54:58.432000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-24 01:55:01.870000000,کردستان,
